Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Quarter,Daily_Return_%,MA_30,Volatility_30
2010-06-29,3.8,5.0,3.508,4.778,4.778,93831500,2010,6,2,,,
2010-06-30,5.158,6.084,4.66,4.766,4.766,85935500,2010,6,2,-0.2511511092507246,,
2010-07-01,5.0,5.184,4.054,4.392,4.392,41094000,2010,7,3,-7.847251363827102,,
2010-07-02,4.6,4.62,3.742,3.84,3.84,25699000,2010,7,3,-12.568306010928975,,
2010-07-06,4.0,4.0,3.166,3.222,3.222,34334500,2010,7,3,-16.093749999999996,,
2010-07-07,3.28,3.326,2.996,3.16,3.16,34608500,2010,7,3,-1.9242706393544307,,
2010-07-08,3.228,3.504,3.114,3.492,3.492,38557000,2010,7,3,10.50632911392404,,
2010-07-09,3.516,3.58,3.31,3.48,3.48,20253000,2010,7,3,-0.3436426116838476,,
2010-07-12,3.59,3.614,3.4,3.41,3.41,11012500,2010,7,3,-2.011494252873558,,
2010-07-13,3.478,3.728,3.38,3.628,3.628,13400500,2010,7,3,6.392961876832848,,
2010-07-14,3.588,4.03,3.552,3.968,3.968,20976000,2010,7,3,9.3715545755237,,
2010-07-15,3.988,4.3,3.8,3.978,3.978,18699000,2010,7,3,0.2520161290322731,,
2010-07-16,4.14,4.26,4.01,4.128,4.128,13106500,2010,7,3,3.7707390648566985,,
2010-07-19,4.274,4.45,4.184,4.382,4.382,12432500,2010,7,3,6.153100775193798,,
2010-07-20,4.37,4.37,4.01,4.06,4.06,9126500,2010,7,3,-7.3482428115016045,,
2010-07-21,4.132,4.18,3.9,4.044,4.044,6262500,2010,7,3,-0.3940886699507429,,
2010-07-22,4.1,4.25,4.074,4.2,4.2,4789000,2010,7,3,3.857566765578646,,
2010-07-23,4.238,4.312,4.212,4.258,4.258,3268000,2010,7,3,1.3809523809523716,,
2010-07-26,4.3,4.3,4.06,4.19,4.19,4611000,2010,7,3,-1.5969938938468653,,
2010-07-27,4.182,4.236,4.052,4.11,4.11,3098500,2010,7,3,-1.9093078758949944,,
2010-07-28,4.11,4.18,4.102,4.144,4.144,2336000,2010,7,3,0.8272506082725117,,
2010-07-29,4.154,4.176,4.0,4.07,4.07,3080000,2010,7,3,-1.7857142857142794,,
2010-07-30,4.04,4.088,3.91,3.988,3.988,2134500,2010,7,3,-2.0147420147420214,,
2010-08-02,4.1,4.194,4.066,4.184,4.184,3590500,2010,8,3,4.9147442326981094,,
2010-08-03,4.2,4.39,4.164,4.39,4.39,6152500,2010,8,3,4.923518164435925,,
2010-08-04,4.39,4.436,4.17,4.252,4.252,4565000,2010,8,3,-3.1435079726651494,,
2010-08-05,4.308,4.31,4.01,4.09,4.09,3981000,2010,8,3,-3.8099717779868314,,
2010-08-06,4.02,4.032,3.904,3.918,3.918,3709500,2010,8,3,-4.205378973105123,,
2010-08-09,3.98,3.996,3.89,3.92,3.92,4063500,2010,8,3,0.05104645227156368,,
2010-08-10,3.93,3.93,3.764,3.806,3.806,6406500,2010,8,3,-2.9081632653061185,4.008266666666667,0.3874452961016102
2010-08-11,3.738,3.776,3.57,3.58,3.58,3988000,2010,8,3,-5.937992643194956,3.9683333333333333,0.3665488943565689
2010-08-12,3.56,3.58,3.478,3.52,3.52,3455000,2010,8,3,-1.6759776536312887,3.9268,0.34287651341011394
2010-08-13,3.636,3.69,3.532,3.664,3.664,3170000,2010,8,3,4.090909090909101,3.9025333333333334,0.3344759909257275
2010-08-16,3.69,3.76,3.652,3.756,3.756,2429000,2010,8,3,2.510917030567672,3.8997333333333333,0.33536793313421137
2010-08-17,3.792,3.88,3.756,3.83,3.83,2239500,2010,8,3,1.9701810436634881,3.92,0.31044439782017524
2010-08-18,3.918,3.918,3.72,3.754,3.754,3006500,2010,8,3,-1.984334203655358,3.9398,0.2774943801854065
2010-08-19,3.708,3.85,3.666,3.758,3.758,2895500,2010,8,3,0.10655301012254537,3.9486666666666665,0.26673366974327184
2010-08-20,3.73,3.822,3.702,3.82,3.82,1480000,2010,8,3,1.6498137307078276,3.9600000000000004,0.2530034755110882
2010-08-23,3.818,4.078,3.8,4.026,4.026,5440500,2010,8,3,5.392670157068058,3.9805333333333333,0.23085444486222007
2010-08-24,3.85,3.942,3.79,3.84,3.84,3365500,2010,8,3,-4.619970193740686,3.9876,0.22279503492269978
2010-08-25,3.832,3.996,3.712,3.98,3.98,2516500,2010,8,3,3.645833333333326,3.988,0.2227694029631355
2010-08-26,3.978,4.054,3.92,3.95,3.95,2169000,2010,8,3,-0.7537688442211032,3.9870666666666663,0.22287137675061094
2010-08-27,3.95,3.974,3.9,3.94,3.94,1898000,2010,8,3,-0.25316455696202667,3.9808,0.22141027605968902
2010-08-30,3.94,4.038,3.922,3.974,3.974,3664000,2010,8,3,0.8629441624365519,3.9672,0.20804415976852905
2010-08-31,3.932,3.958,3.866,3.896,3.896,1005500,2010,8,3,-1.962757926522407,3.9617333333333336,0.2076759633350152
2010-09-01,3.924,4.138,3.92,4.09,4.09,2474500,2010,9,3,4.979466119096498,3.963266666666667,0.20847259529373616
2010-09-02,4.074,4.248,4.062,4.212,4.212,2435500,2010,9,3,2.9828850855745603,3.9636666666666667,0.20895344033991212
2010-09-03,4.174,4.26,4.132,4.21,4.21,2173000,2010,9,3,-0.04748338081670411,3.9620666666666664,0.20679457295175566
2010-09-07,4.122,4.2,4.1,4.108,4.108,1217000,2010,9,3,-2.422802850356298,3.9593333333333334,0.20420363962667692
2010-09-08,4.132,4.19,4.12,4.18,4.18,1442000,2010,9,3,1.7526777020447915,3.9616666666666664,0.20637300233304295
2010-09-09,4.2,4.21,4.138,4.142,4.142,1881000,2010,9,3,-0.9090909090908927,3.9616,0.20631238450466355
2010-09-10,4.15,4.186,3.952,4.034,4.034,1933000,2010,9,3,-2.6074360212457903,3.9604,0.20576411000346337
2010-09-13,4.178,4.18,4.1,4.144,4.144,1804000,2010,9,3,2.7268220128904286,3.9656000000000002,0.20843945618944573
2010-09-14,4.108,4.32,4.106,4.224,4.224,3273500,2010,9,3,1.9305019305019266,3.966933333333333,0.2100067212936431
2010-09-15,4.196,4.4,4.158,4.396,4.396,3423000,2010,9,3,4.0719696969696795,3.9671333333333334,0.2104259609874015
2010-09-16,4.43,4.632,4.168,4.188,4.188,13422500,2010,9,3,-4.731574158325758,3.9650000000000003,0.20774569998454628
2010-09-17,4.204,4.264,3.96,4.046,4.046,5992500,2010,9,3,-3.390639923591199,3.9635333333333334,0.20698671177294176
2010-09-20,4.134,4.27,4.032,4.212,4.212,4737500,2010,9,3,4.102817597627273,3.973333333333333,0.21166358039201733
2010-09-21,4.178,4.31,4.134,4.154,4.154,3980000,2010,9,3,-1.377018043684708,3.981133333333333,0.21392985207585122
2010-09-22,4.174,4.19,3.96,3.974,3.974,4814500,2010,9,3,-4.333172845450162,3.986733333333333,0.2113708839332249
2010-09-23,3.978,4.028,3.9,3.912,3.912,3340500,2010,9,3,-1.5601409159537005,3.9978,0.1975828765441188
2010-09-24,3.99,4.038,3.93,4.02,4.02,2894500,2010,9,3,2.7607361963190025,4.014466666666666,0.17577390127040007
2010-09-27,4.08,4.162,4.01,4.106,4.106,2093000,2010,9,3,2.1393034825870627,4.0292,0.16347907173871534
2010-09-28,4.208,4.298,4.152,4.28,4.28,6072500,2010,9,3,4.23770092547493,4.046666666666667,0.16126083675606032
2010-09-29,4.238,4.406,4.226,4.396,4.396,9846500,2010,9,3,2.710280373831764,4.065533333333334,0.16800630803702074
2010-09-30,4.4,4.43,4.038,4.082,4.082,10979000,2010,9,3,-7.14285714285714,4.076466666666667,0.15736948250213242
2010-10-01,4.138,4.15,4.062,4.12,4.12,2988500,2010,10,4,0.9309162175404229,4.088533333333333,0.1455424415723849
2010-10-04,4.086,4.234,4.06,4.198,4.198,3218000,2010,10,4,1.8932038834951426,4.101133333333333,0.13764089541976457
2010-10-05,4.23,4.256,4.202,4.224,4.224,1660000,2010,10,4,0.6193425440685907,4.107733333333333,0.13865733832460847
2010-10-06,4.212,4.252,4.064,4.092,4.092,1567000,2010,10,4,-3.125000000000011,4.116133333333333,0.12918837711500908
2010-10-07,4.114,4.128,4.068,4.086,4.086,705000,2010,10,4,-0.14662756598239346,4.119666666666666,0.12676351409513603
2010-10-08,4.086,4.158,4.078,4.086,4.086,1339000,2010,10,4,0.0,4.1242,0.12285831480710628
2010-10-11,4.088,4.14,4.014,4.048,4.048,856000,2010,10,4,-0.9300048947626149,4.1278,0.11878970116743685
2010-10-12,4.04,4.056,4.006,4.048,4.048,1220000,2010,10,4,0.0,4.1302666666666665,0.1162265722283623
2010-10-13,4.128,4.17,4.072,4.108,4.108,1591000,2010,10,4,1.4822134387351582,4.137333333333333,0.10761788510932115
2010-10-14,4.2,4.206,4.08,4.15,4.15,1474000,2010,10,4,1.0223953261928154,4.139333333333333,0.10726484571581475
2010-10-15,4.178,4.18,4.05,4.108,4.108,1423500,2010,10,4,-1.0120481927710978,4.135866666666667,0.10651330929734557
2010-10-18,4.104,4.128,4.044,4.046,4.046,814000,2010,10,4,-1.5092502434274402,4.1304,0.10678550850928652
2010-10-19,4.04,4.082,4.0,4.01,4.01,1226000,2010,10,4,-0.8897676717745995,4.127133333333333,0.10897096523555479
2010-10-20,4.032,4.138,4.008,4.13,4.13,1562500,2010,10,4,2.9925187032419087,4.125466666666666,0.1085159239334352
2010-10-21,4.122,4.19,4.09,4.15,4.15,2085500,2010,10,4,0.4842615012106588,4.125733333333334,0.10856777109041564
2010-10-22,4.136,4.186,4.11,4.144,4.144,805500,2010,10,4,-0.14457831325301873,4.1294,0.10721187530724963
2010-10-25,4.188,4.196,4.146,4.17,4.17,592500,2010,10,4,0.6274131274131234,4.1302666666666665,0.10743881445071614
2010-10-26,4.16,4.374,4.102,4.272,4.272,3304500,2010,10,4,2.4460431654676373,4.131866666666666,0.1092254022915358
2010-10-27,4.25,4.276,4.13,4.2,4.2,1782500,2010,10,4,-1.6853932584269704,4.125333333333334,0.09818537475659306
2010-10-28,4.278,4.3,4.192,4.238,4.238,1121000,2010,10,4,0.9047619047619193,4.127,0.0996985110392776
2010-10-29,4.228,4.37,4.21,4.368,4.368,1403000,2010,10,4,3.0674846625766916,4.137733333333333,0.10769014725634242
2010-11-01,4.388,4.55,4.262,4.282,4.282,2279000,2010,11,4,-1.968864468864473,4.140066666666667,0.11008646549443873
2010-11-02,4.336,4.376,4.21,4.25,4.25,1612500,2010,11,4,-0.7473143390938852,4.143266666666666,0.1118860052058359
2010-11-03,4.256,4.5,4.232,4.354,4.354,1863000,2010,11,4,2.4470588235294244,4.1559333333333335,0.11355992898582333
2010-11-04,4.52,5.066,4.43,4.98,4.98,9370000,2010,11,4,14.377583830960038,4.191533333333334,0.1815205380862658
2010-11-05,4.974,4.994,4.744,4.888,4.888,5055000,2010,11,4,-1.847389558232937,4.220466666666667,0.21862181695927754
2010-11-08,4.9,5.0,4.806,4.996,4.996,2547500,2010,11,4,2.209492635024568,4.250133333333333,0.2591774433210538
2010-11-09,5.0,5.138,4.81,4.926,4.926,4782000,2010,11,4,-1.4011208967173783,4.2716666666666665,0.28707854666279814
2010-11-10,4.896,5.994,4.81,5.872,5.872,15302500,2010,11,4,19.20422249289484,4.320866666666666,0.40949916705177014
2010-11-11,5.72,5.82,5.466,5.608,5.608,9726500,2010,11,4,-4.495912806539515,4.371733333333334,0.469226431137636
2010-11-12,5.65,6.1,5.614,5.968,5.968,13645500,2010,11,4,6.419400855920121,4.433333333333334,0.5494790845590195
2010-11-15,6.044,6.588,6.044,6.16,6.16,13114500,2010,11,4,3.217158176943702,4.498733333333333,0.6311885850402079
2010-11-16,6.2,6.28,5.684,5.934,5.934,6738000,2010,11,4,-3.668831168831166,4.555733333333333,0.6807859014977936
2010-11-17,6.04,6.15,5.722,5.898,5.898,3750000,2010,11,4,-0.6066734074823166,4.615933333333333,0.7172390518308852
2010-11-18,6.134,6.148,5.784,5.978,5.978,4780500,2010,11,4,1.3563919972872096,4.679,0.7514032390043378
2010-11-19,6.032,6.274,5.94,6.198,6.198,5752500,2010,11,4,3.6801605888256983,4.7494,0.791781605207415
2010-11-22,6.314,6.69,6.3,6.68,6.68,7648500,2010,11,4,7.776702161987736,4.837133333333332,0.8547023169353856
2010-11-23,6.658,7.136,6.438,6.914,6.914,7889000,2010,11,4,3.502994011976046,4.932666666666667,0.9210528208797683
2010-11-24,7.054,7.194,6.866,7.094,7.094,7125000,2010,11,4,2.6034133641886115,5.0322000000000005,0.9877855903047975
2010-11-26,7.12,7.2,6.95,7.064,7.064,1753000,2010,11,4,-0.42289258528334095,5.129333333333333,1.03993996290016
2010-11-29,7.082,7.19,6.666,6.866,6.866,5728000,2010,11,4,-2.8029445073612713,5.221266666666667,1.0680648932026362
2010-11-30,6.748,7.066,6.682,7.066,7.066,11113000,2010,11,4,2.9129041654529564,5.321933333333334,1.0954434130818318
2010-12-01,7.174,7.284,6.69,6.87,6.87,6496000,2010,12,4,-2.773846589300877,5.4172666666666665,1.1017631616494632
2010-12-02,6.802,6.86,6.24,6.47,6.47,10035000,2010,12,4,-5.822416302765654,5.495266666666667,1.0902586195354154
2010-12-03,6.402,6.45,6.174,6.298,6.298,5800500,2010,12,4,-2.6584234930448147,5.566866666666667,1.0691939191660298
2010-12-06,6.27,6.29,5.912,6.062,6.062,6372000,2010,12,4,-3.7472213401079646,5.6308,1.0380697737495392
